"name","artists","duration_ms","release_date","year","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","mode","key","popularity","explicit","count"
"Petrushka Suite: Dance of the Peasant and the Bear","['Igor Stravinsky', 'Columbia Symphony Orchestra']","75493","1948","1948","0.971","0.269","0.137","0.917","0.433","-18.196","0.0366","132.556","0.0507","0","9","0","0","2"
"Petrushka Suite: Dance of the Wet-Nurses","['Igor Stravinsky', 'Columbia Symphony Orchestra']","158373","1948","1948","0.985","0.401","0.293","0.921","0.207","-14.809","0.0369","119.767","0.497","0","9","0","0","2"
"Petrushka Suite: Petruchka's Room","['Igor Stravinsky', 'Columbia Symphony Orchestra']","250400","1948","1948","0.962","0.316","0.133","0.766","0.12","-18.076","0.0551","80.207","0.125","1","7","0","0","2"
"Petrushka Suite: Russian Dance","['Igor Stravinsky', 'Columbia Symphony Orchestra']","160440","1948","1948","0.93","0.447","0.356","0.686","0.514","-14.919","0.0412","117.783","0.319","0","9","0","0","2"
"Petrushka Suite: The Charlatan's Booth","['Igor Stravinsky', 'Columbia Symphony Orchestra']","111933","1948","1948","0.946","0.246","0.02","0.0313","0.138","-34.845","0.045","89.481","0.208","1","3","0","0","2"
"Petrushka Suite: The Crowds","['Igor Stravinsky', 'Columbia Symphony Orchestra']","257400","1948","1948","0.925","0.328","0.321","0.807","0.441","-11.853","0.07","69.146","0.354","0","2","0","0","2"
"Petrushka Suite: The Masqueraders","['Igor Stravinsky', 'Columbia Symphony Orchestra']","111533","1948","1948","0.948","0.453","0.527","0.947","0.103","-13.148","0.181","136.493","0.106","1","3","0","0","2"
"Petrushka Suite: The Shrovetide Fair","['Igor Stravinsky', 'Columbia Symphony Orchestra']","50160","1948","1948","0.974","0.32","0.346","0.48","0.198","-14.103","0.137","137.452","0.204","0","2","0","0","2"
"Petrushka Suite: The Shrovetide Fair (Towards Evening)","['Igor Stravinsky', 'Columbia Symphony Orchestra']","70693","1948","1948","0.98","0.304","0.4","0.894","0.386","-14.256","0.0382","100.786","0.472","0","4","0","0","2"
"Piano Concerto No. 1 in F-Sharp Minor, Op. 1: I. Vivace","['Sergei Rachmaninoff', 'Fritz Reiner', 'Byron Janis']","735707","1954","1954","0.981","0.294","0.191","0.909","0.122","-19.655","0.0335","94.601","0.0803","0","6","0","0","2"
"Piano Concerto No. 2 in B-Flat Major, Op. 19: I. Allegro con brio","['Ludwig van Beethoven', 'William Kapell', 'Vladimir Golschmann']","810360","1945","1945","0.986","0.344","0.192","0.885","0.306","-17.215","0.0382","73.711","0.233","1","10","0","0","2"
"Piano Concerto No. 2 in B-Flat Major, Op. 83: I. Allegro non troppo","['Johannes Brahms', 'Vladimir Horowitz', 'Arturo Toscanini', 'NBC Symphony Orchestra']","975693","1928","1928","0.986","0.309","0.236","0.874","0.144","-16.379","0.0345","106.224","0.0967","1","10","0","0","2"
"Piano Concerto No. 2 in B-Flat Major, Op. 83: II. Allegro appassionato","['Johannes Brahms', 'Vladimir Horowitz', 'Arturo Toscanini', 'NBC Symphony Orchestra']","486000","1928","1928","0.984","0.37","0.296","0.897","0.0981","-13.223","0.0334","113.086","0.2","0","2","0","0","2"
"Piano Concerto No. 2 in B-Flat Major, Op. 83: III. Andante","['Johannes Brahms', 'Vladimir Horowitz', 'Arturo Toscanini', 'NBC Symphony Orchestra']","665267","1928","1928","0.925","0.162","0.0872","0.838","0.203","-23.156","0.0362","78.486","0.069","1","10","0","0","2"
"Piano Concerto No. 2 in B-Flat Major, Op. 83: IV. Allegretto grazioso","['Johannes Brahms', 'Vladimir Horowitz', 'Arturo Toscanini', 'NBC Symphony Orchestra']","504733","1928","1928","0.977","0.352","0.284","0.862","0.112","-14.516","0.0382","115.984","0.209","1","10","0","0","2"
"Piano Concerto No. 3 in D Minor, Op. 30: II. Intermezzo. Adagio","['Sergei Rachmaninoff', 'Vladimir Horowitz', 'New York Philharmonic', 'Eugene Ormandy']","706360","1928","1928","0.984","0.288","0.0723","0.85","0.114","-21.173","0.0368","111.135","0.0388","1","1","0","0","2"
"Piano Concerto No. 3 in D Minor, Op. 30: III. Finale. Alla breve","['Sergei Rachmaninoff', 'Vladimir Horowitz', 'New York Philharmonic', 'Eugene Ormandy']","891373","1928","1928","0.968","0.377","0.21","0.921","0.689","-19.139","0.0366","96.24","0.102","1","10","0","0","2"
"Piano Playtime: By the Brook No. 4 (To ""Butten"")","['Abram Chasins', 'William Kapell']","91507","1945","1945","0.995","0.651","0.0529","0.787","0.276","-22.734","0.0469","87.991","0.492","1","9","0","0","2"
"Piano Playtime: Dancing Bagpipes No. 5 (To David)","['Abram Chasins', 'William Kapell']","45173","1945","1945","0.993","0.661","0.232","0.928","0.0707","-19.78","0.13","128.735","0.684","0","9","0","0","2"
"Piano Sonata in E-Flat Minor, Op. 26: I. Allegro energico","['Samuel Barber', 'Vladimir Horowitz']","392240","1928","1928","0.987","0.141","0.263","0.898","0.157","-19.383","0.0368","69.11","0.0519","1","11","0","0","2"
"Piano Sonata in E-Flat Minor, Op. 26: II. Allegro vivace e leggero","['Samuel Barber', 'Vladimir Horowitz']","115627","1928","1928","0.987","0.242","0.149","0.877","0.134","-26.742","0.0369","88.188","0.279","1","0","0","0","2"
"Piano Sonata in E-Flat Minor, Op. 26: III. Adagio mesto","['Samuel Barber', 'Vladimir Horowitz']","338333","1928","1928","0.99","0.359","0.0435","0.899","0.109","-20.858","0.0424","96.645","0.042","1","7","0","0","2"
"Piano Sonata in E-Flat Minor, Op. 26: IV. Fuga. Allegro con spirito","['Samuel Barber', 'Vladimir Horowitz']","277733","1928","1928","0.982","0.226","0.405","0.878","0.198","-18.717","0.0334","111.335","0.503","1","11","0","0","2"
"Piano Sonata No. 1 in C Major, J. 138: I. Allegro","['Carl Maria von Weber', 'Claudio Arrau']","353160","1941","1941","0.993","0.473","0.192","0.907","0.171","-18.96","0.0509","130.229","0.159","1","0","0","0","2"
"Piano Sonata No. 1 in C Major, J. 138: II. Adagio","['Carl Maria von Weber', 'Claudio Arrau']","367747","1941","1941","0.994","0.418","0.0727","0.871","0.0611","-21.459","0.0518","77.978","0.0932","1","5","0","0","2"
"Piano Sonata No. 1 in C Major, J. 138: III. Minuetto - Allegro","['Carl Maria von Weber', 'Claudio Arrau']","304400","1941","1941","0.994","0.412","0.044","0.887","0.112","-22.189","0.0561","75.896","0.294","0","4","0","0","2"
"Piano Sonata No. 1 in C Major, J. 138: IV. Rondo Presto ""Perpetuum Mobile""","['Carl Maria von Weber', 'Claudio Arrau']","219120","1941","1941","0.993","0.425","0.17","0.898","0.166","-19.717","0.0382","91.029","0.576","1","0","0","0","2"
"Piano Sonata No. 11 in A Major, K. 331: III. Rondo alla turca","['Wolfgang Amadeus Mozart', 'Vladimir Horowitz']","220173","1928","1928","0.993","0.493","0.0842","0.879","0.112","-24.255","0.0518","122.532","0.559","1","9","0","0","2"
"Piano Sonata No. 2 in B-Flat Minor, Op. 36: I. Allegro agitato - Meno mosso","['Sergei Rachmaninoff', 'Vladimir Horowitz']","590293","1928","1928","0.994","0.376","0.0719","0.883","0.196","-21.849","0.0352","141.39","0.0393","0","10","0","0","2"
"Piano Sonata No. 2 in B-Flat Minor, Op. 36: II. Non allegro - Lento - Più mosso","['Sergei Rachmaninoff', 'Vladimir Horowitz']","370773","1928","1928","0.994","0.371","0.0284","0.906","0.0791","-23.766","0.045","134.806","0.0386","0","4","0","0","2"
"Piano Sonata No. 2 in B-Flat Minor, Op. 36: III. L'istesso tempo - Allegro molto","['Sergei Rachmaninoff', 'Vladimir Horowitz']","372027","1928","1928","0.992","0.434","0.228","0.859","0.746","-17.277","0.0354","105.336","0.098","1","3","0","0","2"
"Piano Sonata No. 2, Op. 35: I. Grave - Doppio movimento","['Frédéric Chopin', 'Vladimir Horowitz']","473227","1928","1928","0.99","0.272","0.281","0.867","0.087","-16.228","0.0365","99.27","0.0775","0","10","0","0","2"
"Piano Sonata No. 2, Op. 35: II. Scherzo - Più lento","['Frédéric Chopin', 'Vladimir Horowitz']","415733","1928","1928","0.993","0.29","0.124","0.903","0.13","-17.667","0.0382","71.581","0.113","1","6","0","0","2"
"Piano Sonata No. 2, Op. 35: III. Marche funèbre","['Frédéric Chopin', 'Vladimir Horowitz']","421200","1928","1928","0.994","0.376","0.0342","0.917","0.0633","-18.818","0.0381","97.925","0.133","0","10","0","0","2"
"Piano Sonata No. 2, Op. 35: IV. Finale. Presto","['Frédéric Chopin', 'Vladimir Horowitz']","87640","1928","1928","0.989","0.232","0.0877","0.838","0.0872","-29.214","0.0331","131.743","0.359","0","10","0","0","2"
"Piano Sonata: Andante sostenuto","['Aaron Copland', 'William Kapell']","525027","1945","1945","0.988","0.562","0.00973","0.902","0.684","-20.707","0.0692","131.995","0.1","1","4","0","0","2"
"Piano Sonata: Molto moderato","['Aaron Copland', 'William Kapell']","458293","1945","1945","0.977","0.534","0.0648","0.824","0.0841","-18.247","0.0866","106.181","0.0448","1","6","0","0","2"
"Pictures at an Exhibition: Ballet of the Unhatched Chicks","['Modest Mussorgsky', 'William Kapell']","64333","1945","1945","0.99","0.594","0.155","0.894","0.0947","-21.641","0.066","100.49","0.338","1","6","0","0","2"
"Pictures at an Exhibition: Con mortuis in lingua mortua","['Modest Mussorgsky', 'William Kapell']","101427","1945","1945","0.992","0.224","0.0082","0.865","0.0979","-31.113","0.035","83.252","0.0696","1","6","0","0","2"
"Pictures at an Exhibition: Limoges -- The Market","['Modest Mussorgsky', 'William Kapell']","71773","1945","1945","0.99","0.299","0.325","0.815","0.248","-16.235","0.0362","130.815","0.552","1","3","0","0","2"
"Pictures at an Exhibition: Promenade","['Modest Mussorgsky', 'William Kapell']","28800","1945","1945","0.991","0.541","0.0999","0.703","0.104","-19.955","0.0945","92.739","0.927","1","6","0","0","2"
"Pictures at an Exhibition: Promenade","['Modest Mussorgsky', 'William Kapell']","41600","1945","1945","0.987","0.647","0.0185","0.574","0.102","-29.831","0.0841","98.446","0.425","1","5","0","0","2"
"Pictures at an Exhibition: Promenade","['Modest Mussorgsky', 'William Kapell']","88373","1945","1945","0.985","0.517","0.246","0.84","0.105","-17.22","0.0521","100.69","0.547","1","5","0","0","2"
"Pictures at an Exhibition: Samuel Goldenberg and Schmuyle","['Modest Mussorgsky', 'William Kapell']","122067","1945","1945","0.991","0.337","0.0554","0.893","0.111","-17.206","0.0585","65.37","0.106","1","6","0","0","2"
"Pictures at an Exhibition: The Gnome","['Modest Mussorgsky', 'William Kapell']","134827","1945","1945","0.979","0.51","0.0308","0.892","0.101","-21.064","0.057","124.012","0.199","1","11","0","0","2"
"Pictures at an Exhibition: Tuileries","['Modest Mussorgsky', 'William Kapell']","51867","1945","1945","0.994","0.368","0.00884","0.919","0.112","-28.374","0.0759","163.453","0.216","0","3","0","0","2"
"Politikos","['Stathis Koukoularis']","471533","1/1/50","1950","0.888","0.353","0.505","0.731","0.221","-10.307","0.0302","101.052","0.55","1","2","0","0","2"
"Polonaise-Fantaisie in A-Flat Major, Op. 61","['Frédéric Chopin', 'Vladimir Horowitz']","785427","1928","1928","0.992","0.301","0.0823","0.852","0.087","-23.282","0.0382","137.296","0.0548","1","1","0","0","2"
"Polonaise-Fantaisie in A-Flat, Op.61","['Frédéric Chopin', 'William Kapell']","763733","1945","1945","0.993","0.24","0.107","0.905","0.697","-20.576","0.0397","82.361","0.0396","1","6","0","0","2"
"Polonaise in A-Flat Major, Op. 53 ""Heroic""","['Frédéric Chopin', 'Vladimir Horowitz']","356307","1928","1928","0.991","0.247","0.224","0.89","0.102","-19.505","0.034","83.581","0.481","1","8","0","0","2"
"Polonaise in B-Flat Major, Op. 71 No. 2","['Frédéric Chopin', 'Maryla Jonas']","277173","1946","1946","0.993","0.329","0.0799","0.846","0.162","-20.08","0.0357","95.47","0.0944","1","10","0","0","2"
"Pompeii","['Bastille']","214148","1/1/13","2013","0.0755","0.679","0.715","0","0.271","-6.383","0.0407","127.435","0.571","1","9","71","0","2"
"Praeludium","['Igor Stravinsky']","90867","1948","1948","0.948","0.3","0.0497","0.359","0.419","-24.905","0.0486","184.311","0.334","1","3","0","0","2"
"Prelude, Op. 23, No. 5, in G Minor","['Sergei Rachmaninoff', 'Vladimir Horowitz']","248067","1928","1928","0.988","0.454","0.187","0.887","0.698","-19.989","0.05","115.286","0.168","0","7","0","0","2"
"Preludes, Op.34: No. 10 in C-Sharp Minor","['Dmitri Shostakovich', 'William Kapell']","105267","1945","1945","0.994","0.426","0.052","0.929","0.336","-27.633","0.0499","79.62","0.21","0","1","0","0","2"
"Preludes: Op. 11, No. 1 in C","['Alexander Scriabin', 'Vladimir Horowitz']","66973","1928","1928","0.992","0.439","0.224","0.93","0.0971","-16.194","0.0411","70.395","0.345","1","0","0","0","2"
